Timestamp,Target_X,Current_X,Roll_Out,Target_Y,Current_Y,Pitch_Out,Target_Z,Current_Z,Thrust_Adj,Final_Thrust
0.118,0.5,0.506,-0.08,0.5,0.462,0.52,0.5,0.516,-0.65,149
0.569,0.5,0.485,0.21,0.5,0.467,0.47,0.5,0.492,0.73,150
0.815,0.5,0.488,0.12,0.5,0.487,0.12,0.5,0.539,-3.87,146
0.918,0.5,0.499,-0.05,0.5,0.525,-0.41,0.5,0.619,-8.39,141
1.283,0.5,0.548,-0.72,0.5,0.666,-2.34,0.5,0.619,-4.34,145
1.974,0.5,0.599,-1.31,0.5,0.67,-2.06,0.5,0.55,-1.02,148
2.04,0.5,0.622,-1.87,0.5,0.66,-1.77,0.5,0.426,21.17,171
2.139,0.5,0.641,-1.94,0.5,0.638,-1.47,0.5,0.262,24.66,174
2.238,0.5,0.593,-0.7,0.5,0.637,-1.67,0.5,0.488,-22.53,127
2.342,0.5,0.638,-2.16,0.5,0.637,-1.69,0.5,0.263,29.84,179
2.436,0.5,0.593,-0.72,0.5,0.637,-1.68,0.5,0.488,-23.58,126
2.535,0.5,0.59,-1.14,0.5,0.637,-1.71,0.5,0.49,0.04,150
2.634,0.5,0.576,-0.84,0.5,0.717,-3.48,0.5,0.662,-23.3,126
2.734,0.5,0.593,-1.38,0.5,0.731,-2.99,0.5,0.509,14.81,164
2.831,0.5,0.58,-0.91,0.5,0.718,-2.56,0.5,0.627,-16.76,133
2.931,0.5,0.593,-1.35,0.5,0.734,-3.06,0.5,0.512,10.9,160
3.03,0.5,0.639,-2.23,0.5,0.637,-0.77,0.5,0.263,33.3,183
3.128,0.5,0.594,-0.78,0.5,0.637,-1.75,0.5,0.488,-22.68,127
3.228,0.5,0.577,-0.86,0.5,0.637,-1.76,0.5,0.564,-9.95,140
3.327,0.5,0.638,-2.4,0.5,0.637,-1.77,0.5,0.263,38.41,188
3.426,0.5,0.569,-0.26,0.5,0.637,-1.78,0.5,0.602,-37.88,112
3.525,0.5,0.576,-1.12,0.5,0.637,-1.79,0.5,0.564,1.38,151
3.624,0.5,0.577,-1.06,0.5,0.637,-1.78,0.5,0.565,-2.47,147
3.722,0.5,0.639,-2.43,0.5,0.634,-1.73,0.5,0.264,38.74,188
3.821,0.5,0.57,-0.29,0.5,0.637,-1.84,0.5,0.601,-37.68,112
3.888,0.5,0.639,-2.84,0.5,0.637,-1.79,0.5,0.263,50,200
3.987,0.5,0.593,-0.81,0.5,0.637,-1.82,0.5,0.489,-22.47,127
4.085,0.5,0.578,-0.93,0.5,0.637,-1.82,0.5,0.563,-9.96,140
4.183,0.5,0.582,-1.2,0.5,0.637,-1.82,0.5,0.561,-2.01,147
4.283,0.5,0.596,-1.44,0.5,0.637,-1.84,0.5,0.487,7.7,157
4.383,0.5,0.577,-0.9,0.5,0.637,-1.84,0.5,0.564,-10.18,139
4.481,0.5,0.594,-1.48,0.5,0.637,-1.85,0.5,0.487,8.08,158
4.581,0.5,0.577,-0.94,0.5,0.637,-1.85,0.5,0.564,-10.04,139
4.68,0.5,0.639,-2.47,0.5,0.637,-1.87,0.5,0.264,38.54,188
4.754,0.5,0.574,-0.2,0.5,0.636,-1.84,0.5,0.598,-48.66,101
4.846,0.5,0.594,-1.53,0.5,0.634,-1.81,0.5,0.489,12.19,162
4.95,0.5,0.579,-1.01,0.5,0.637,-1.91,0.5,0.562,-9.45,140
5.047,0.5,0.568,-0.9,0.5,0.712,-3.57,0.5,0.553,-1.12,148
